date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:27	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:24%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=4F56B199806B4801B9ABA0FF493A84DC	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index1e99.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=4F56B199806B4801B9ABA0FF493A84DC)
12:57:30	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:27%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=CD43D1A4398338402947FA81393F0600	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexef89.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=CD43D1A4398338402947FA81393F0600)
12:57:30	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:28%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=B854D3CFD2CE0839E9DCC67E99B86ACE	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index811d.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=B854D3CFD2CE0839E9DCC67E99B86ACE)
12:57:30	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:28%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=944355856BB22F0E6E7AADB77FB79E06	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexfdb3.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=944355856BB22F0E6E7AADB77FB79E06)
12:57:35	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:31%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=63432F1E516670120831327DC1D4DFDD	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexd3e1.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=63432F1E516670120831327DC1D4DFDD)
12:57:35	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:31%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=43E444D65FCE6170B2E8E80CBF512F6A	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index958f.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=43E444D65FCE6170B2E8E80CBF512F6A)
12:57:35	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:32%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=03F3379D04ADF9DA992A1D175FD01C2D	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexdae5.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=03F3379D04ADF9DA992A1D175FD01C2D)
12:57:39	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:36%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=A472F7968C8D37BB41C40E65208B004D	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index9e39.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=A472F7968C8D37BB41C40E65208B004D)
12:57:40	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:36%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=BD517D84D54E08555CCCB7B835F2FE63	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexf9d5.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=BD517D84D54E08555CCCB7B835F2FE63)
12:57:40	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:36%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=387D650FECE7D6EFE630F1F249A8AF1D	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexe361.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=387D650FECE7D6EFE630F1F249A8AF1D)
12:57:42	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:40%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=B399367F0E0C7B5E6A1999A65EB06A0D	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/indexd32e.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=B399367F0E0C7B5E6A1999A65EB06A0D)
12:57:44	0/0	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2001%20May%202020%2008:27:41%20GMT	https://simplychocolate.dk/?wordfence_lh=1%26hid=3854003ABC7E0E3EEC70350B47E0D578	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/index6246.html	(from http://simplychocolate.dk/?wordfence_lh=1&hid=3854003ABC7E0E3EEC70350B47E0D578)
13:26:53	57031612/57031612	---M--	200	added ('OK')	video/mp4	etag:%223663bbc-5983a4617ed6e%22	https://simplychocolate.dk/wp-content/uploads/2019/11/SC_SantasFavorite_16-9_Ratio.mp4	/Users/Carmen/Writing/CPY/Simplychocolate/simplychocolate.dk/wp-content/uploads/2019/11/SC_SantasFavorite_16-9_Ratio.mp4	(from https://simplychocolate.dk/santasfavorite/)
